Sex,Age,Estimated 1971,Estimated 1972,Estimated 1973,Estimated 1974,Estimated 1975,Estimated 1976,Estimated 1977,Estimated 1978,Estimated 1979,Estimated 1980,Estimated 1981,Estimated 1982,Estimated 1983,Estimated 1984,Estimated 1985,Estimated 1986,Estimated 1987,Estimated 1988,Estimated 1989,Estimated 1990,Estimated 1991,Estimated 1992,Estimated 1993,Estimated 1994,Estimated 1995,Estimated 1996,Estimated 1997,Estimated 1998,Estimated 1999,Estimated 2000,Estimated 2001,Estimated 2002,Estimated 2003,Estimated 2004,Estimated 2005,Estimated 2006,Estimated 2007,Estimated 2008,Estimated 2009,Projected 2010,Projected 2011,Projected 2012,Projected 2013,Projected 2014,Projected 2015,Projected 2016,Projected 2017,Projected 2018,Projected 2019,Projected 2020,Projected 2021,Projected 2022,Projected 2023,Projected 2024,Projected 2025,Projected 2026,Projected 2027,Projected 2028,Projected 2029,Projected 2030,Projected 2031,Projected 2032,Projected 2033,Projected 2034,Projected 2035,Projected 2036,Projected 2037,Projected 2038,Projected 2039,Projected 2040,Projected 2041,Projected 2042,Projected 2043,Projected 2044,Projected 2045,Projected 2046,Projected 2047,Projected 2048,Projected 2049,Projected 2050,Projected 2051,Projected 2052,Projected 2053,Projected 2054,Projected 2055,Projected 2056,Projected 2057,Projected 2058,Projected 2059
Persons,0,3833,4049,4026,4280,4255,4157,4381,4300,4167,4167,4159,4081,4104,4206,4060,4094,4137,4203,4314,4477,4659,4498,4482,4415,4446,4463,4235,4114,4194,4132,4040,3992,4019,4135,4161,4430,4607,4602,4735,4946,5031,5105,5174,5239,5297,5347,5382,5403,5414,5416,5411,5402,5389,5375,5360,5347,5338,5331,5328,5327,5331,5342,5360,5385,5418,5458,5505,5557,5613,5672,5732,5791,5848,5904,5954,6000,6039,6073,6101,6124,6142,6156,6165,6172,6176,6179,6182,6184,6188
Persons,1,3655,3983,4310,4292,4562,4378,4197,4395,4246,4160,4155,4136,4140,4166,4167,4163,4172,4236,4258,4393,4548,4692,4486,4457,4420,4449,4377,4202,4115,4213,4159,4079,3997,4017,4133,4174,4519,4607,4596,4759,4970,5049,5123,5192,5257,5315,5360,5395,5416,5427,5429,5424,5415,5402,5388,5373,5360,5352,5345,5342,5341,5346,5357,5375,5400,5433,5473,5520,5572,5628,5687,5747,5806,5863,5919,5969,6015,6054,6088,6116,6139,6157,6171,6180,6187,6191,6194,6197,6199
Persons,2,3478,3789,4265,4592,4553,4803,4412,4221,4386,4221,4152,4162,4214,4179,4273,4270,4286,4261,4270,4349,4497,4560,4679,4439,4420,4390,4452,4308,4189,4125,4233,4185,4098,3961,4016,4170,4263,4559,4665,4628,4791,4997,5076,5150,5219,5284,5337,5382,5417,5438,5449,5451,5446,5437,5424,5410,5395,5382,5374,5367,5364,5363,5368,5379,5397,5422,5455,5495,5542,5594,5650,5709,5769,5828,5885,5941,5991,6037,6076,6110,6138,6161,6179,6193,6202,6209,6213,6216,6219
Persons,3,3324,3583,4036,4533,4838,4739,4794,4427,4239,4400,4219,4205,4175,4222,4236,4347,4346,4357,4312,4314,4453,4511,4566,4651,4451,4407,4344,4425,4297,4218,4126,4250,4182,4052,3942,3985,4256,4300,4582,4693,4656,4813,5019,5098,5172,5241,5301,5354,5399,5434,5455,5466,5468,5463,5454,5441,5427,5412,5399,5391,5384,5381,5380,5385,5396,5414,5439,5472,5512,5559,5611,5667,5726,5786,5845,5902,5958,6008,6054,6093,6127,6155,6178,6196,6210,6219,6226,6230,6233
Persons,4,3227,3420,3794,4260,4766,5033,4758,4765,4421,4308,4431,4246,4241,4250,4266,4277,4411,4379,4395,4341,4369,4492,4549,4562,4665,4456,4389,4364,4456,4272,4277,4133,4237,4117,4041,3949,4058,4280,4339,4607,4718,4676,4833,5039,5118,5192,5255,5315,5368,5413,5448,5469,5480,5482,5477,5468,5455,5441,5426,5413,5405,5398,5395,5394,5399,5410,5428,5453,5486,5526,5573,5625,5681,5740,5800,5859,5916,5972,6022,6068,6107,6141,6169,6192,6210,6224,6233,6240,6244
Persons,5,3228,3323,3617,3993,4461,4934,5093,4766,4729,4479,4350,4430,4310,4283,4306,4337,4336,4494,4391,4427,4420,4436,4528,4546,4589,4645,4431,4363,4405,4418,4271,4250,4102,4184,4111,4027,3994,4085,4323,4362,4630,4735,4693,4850,5056,5135,5203,5266,5326,5379,5424,5459,5480,5491,5493,5488,5479,5466,5452,5437,5425,5417,5410,5407,5406,5411,5422,5440,5465,5498,5538,5585,5637,5693,5752,5812,5871,5928,5984,6034,6080,6119,6153,6181,6204,6222,6236,6245,6252
Persons,6,3216,3341,3519,3803,4173,4596,4997,5131,4756,4695,4493,4350,4407,4353,4319,4350,4425,4387,4525,4449,4479,4467,4455,4501,4557,4604,4633,4409,4361,4409,4435,4257,4210,4078,4141,4089,4064,4003,4100,4341,4380,4643,4748,4706,4863,5069,5142,5210,5273,5333,5386,5431,5466,5487,5498,5500,5495,5486,5473,5459,5444,5432,5424,5417,5414,5413,5418,5429,5447,5472,5505,5545,5592,5644,5700,5759,5819,5878,5935,5991,6041,6087,6126,6160,6188,6211,6229,6243,6252
Persons,7,3317,3329,3549,3685,3955,4277,4634,5045,5096,4727,4628,4496,4414,4382,4374,4346,4428,4485,4426,4586,4547,4536,4507,4461,4524,4574,4576,4624,4410,4402,4427,4425,4226,4219,4077,4125,4109,4087,4016,4115,4356,4389,4652,4757,4715,4872,5072,5145,5213,5276,5336,5389,5434,5469,5490,5501,5503,5498,5489,5476,5462,5447,5435,5427,5420,5417,5416,5421,5432,5450,5475,5508,5548,5595,5647,5703,5762,5822,5881,5938,5994,6044,6090,6129,6163,6191,6214,6232,6246
Persons,8,3252,3418,3520,3706,3847,4034,4326,4636,5054,5052,4700,4661,4528,4453,4401,4367,4393,4461,4476,4455,4608,4577,4537,4457,4461,4483,4508,4561,4595,4405,4418,4432,4410,4211,4180,4101,4165,4149,4080,4028,4127,4364,4397,4660,4765,4723,4874,5074,5147,5215,5278,5338,5391,5436,5471,5492,5503,5505,5500,5491,5478,5464,5449,5437,5429,5422,5419,5418,5423,5434,5452,5477,5510,5550,5597,5649,5705,5764,5824,5883,5940,5996,6046,6092,6131,6165,6193,6216,6234
Persons,9,3443,3370,3580,3668,3858,3919,4114,4342,4615,5033,5026,4740,4687,4549,4491,4432,4422,4452,4453,4462,4493,4616,4567,4512,4437,4455,4474,4491,4542,4576,4462,4381,4399,4358,4153,4179,4135,4162,4164,4094,4042,4135,4372,4405,4668,4773,4727,4878,5078,5151,5219,5282,5342,5395,5440,5475,5496,5507,5509,5504,5495,5482,5468,5453,5441,5433,5426,5423,5422,5427,5438,5456,5481,5514,5554,5601,5653,5709,5768,5828,5887,5944,6000,6050,6096,6135,6169,6197,6220
Persons,10,3279,3525,3544,3714,3794,3941,3993,4133,4312,4567,5003,5060,4757,4706,4612,4516,4517,4497,4474,4485,4542,4563,4636,4584,4536,4488,4471,4413,4483,4537,4580,4500,4358,4388,4343,4122,4217,4139,4191,4170,4100,4043,4136,4373,4406,4669,4769,4723,4874,5074,5147,5215,5278,5338,5391,5436,5471,5492,5503,5505,5500,5491,5478,5464,5449,5437,5429,5422,5419,5418,5423,5434,5452,5477,5510,5550,5597,5649,5705,5764,5824,5883,5940,5996,6046,6092,6131,6165,6193
Persons,11,3104,3360,3654,3682,3824,3841,3956,3994,4126,4280,4529,4989,5033,4811,4725,4644,4602,4585,4536,4518,4541,4534,4566,4628,4588,4521,4494,4442,4385,4476,4540,4583,4483,4331,4356,4317,4181,4231,4177,4179,4158,4084,4027,4120,4357,4390,4649,4749,4703,4854,5054,5127,5195,5258,5318,5371,5416,5451,5472,5483,5485,5480,5471,5458,5444,5429,5417,5409,5402,5399,5398,5403,5414,5432,5457,5490,5530,5577,5629,5685,5744,5804,5863,5920,5976,6026,6072,6111,6145
Persons,12,3060,3148,3497,3782,3829,3874,3846,3960,3983,4116,4257,4544,4997,5044,4930,4768,4725,4682,4626,4564,4576,4584,4533,4558,4620,4592,4531,4499,4447,4395,4508,4574,4543,4455,4301,4327,4355,4170,4273,4161,4163,4138,4064,4007,4100,4337,4366,4625,4725,4679,4830,5030,5103,5171,5234,5294,5347,5392,5427,5448,5459,5461,5456,5447,5434,5420,5405,5393,5385,5378,5375,5374,5379,5390,5408,5433,5466,5506,5553,5605,5661,5720,5780,5839,5896,5952,6002,6048,6087
Persons,13,2858,3100,3255,3631,3907,3916,3912,3830,3955,3936,4114,4298,4516,5034,5060,4948,4861,4781,4664,4641,4599,4599,4615,4509,4592,4649,4603,4520,4486,4474,4440,4574,4551,4507,4443,4308,4345,4368,4192,4281,4169,4167,4142,4068,4011,4104,4336,4365,4624,4724,4678,4829,5029,5102,5170,5233,5293,5346,5391,5426,5447,5458,5460,5455,5446,5433,5419,5404,5392,5384,5377,5374,5373,5378,5389,5407,5432,5465,5505,5552,5604,5660,5719,5779,5838,5895,5951,6001,6047
