"parent_url","image","address","link","Searchresult number","Searchresult number_link","street","street link","suburb","suburb link","Opentime","Opentime link","energy rating","energy rating link","Value numbers","Value numbers_link","rent","rent link","type of property","type of property link","contact","contact link","agency","agency link","agency image","Searchagent image_alt","Searchagent image_link"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://d312e23b167bfe60c17d-31335a5f782e4fb2c4a45a49b888a842.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/488240e06746ffc36026e9c2d0f4861a_m.jpg","43 Starke Street Higgins ACT 2615","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","3","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","43 Starke Street","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","Higgins, ACT 2615","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","","","","","1; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711; https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711; https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","$250 per week","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","Duplex","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","Lesley Cloake","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","Sutton Real Estate","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711","https://d5a212bd2263b410dc7d-2221b7a4342ba516835eebedc8724e2e.ssl.cf4.rackcdn.com/ahda/agent/logo/9d4be734c80fba14070d985ad8bb6674_agency_t.jpg","Sutton Real Estate","https://www.allhomes.com.au/ah/act/rent-residential/43-starke-street-higgins-canberra/1317343315711"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://ecd62c08312d54519b7a-04bb6e2a3169f68242ddfbd3cbd679ed.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/03c22ada8f29750d1a1345ca3ae07f37_m.jpg","9/30 Ijong Street Braddon ACT 2612","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","4","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","9/30 Ijong Street","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","Braddon, ACT 2612","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","Fri Feb 24, 4:30pm-4:45pm","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","","","1; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511; https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511; https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","$400PW","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","Apartment","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","Stephanie Traycevska","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","LJ Hooker Canberra City","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511","https://d3b505e01008460ec6c7-e4412810db7c8258436af277a9d1f7b5.ssl.cf4.rackcdn.com/ahda/agent/logo/7fcfb8459d5558b7d8b2ca22f923ac93_agency_t.gif","LJ Hooker Canberra City","https://www.allhomes.com.au/ah/act/rent-residential/9-30-ijong-street-braddon-canberra/1317343542511"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://53d27cb28e81f7ed70a9-a280d1ae151830898be655311aa4b09e.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/d32e4e8ad1d8bdcbbfb3a43cd65788c4_m.jpg","82 Wanderlight Avenue Lawson ACT 2617","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","9","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","82 Wanderlight Avenue","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","Lawson, ACT 2617","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","Sat Feb 18, 10:30am-11:15am","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","6.0","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","2; 2; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611; https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611; https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611; https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","$460 per week","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","Townhouse","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","Property Management Team","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","@Home ACT","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611","https://832ccbc68b80a315b417-20629b89e7de60566d86d8b88d3de9ef.ssl.cf4.rackcdn.com/ahda/agent/logo/3ba53c566de19692ea42ec909f170cfe_agency_t.png","@Home ACT","https://www.allhomes.com.au/ah/act/rent-residential/82-wanderlight-avenue-lawson-canberra/1317343315611"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://b9fa1b8b334a28caf654-4377c15f25e099e2f0be02bc6a53b8a6.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/d6002495717106c244c08ef683e786f6_m.jpg","3 Billabong Street Lawson ACT 2617","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","17","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","3 Billabong Street","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","Lawson, ACT 2617","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","Sat Feb 18, 10:30am-11:15am","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","6.0","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","1; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411; https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411; https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","$380 per week","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","Apartment","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","Property Management Team","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","@Home ACT","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411","https://832ccbc68b80a315b417-20629b89e7de60566d86d8b88d3de9ef.ssl.cf4.rackcdn.com/ahda/agent/logo/3ba53c566de19692ea42ec909f170cfe_agency_t.png","@Home ACT","https://www.allhomes.com.au/ah/act/rent-residential/3-billabong-street-lawson-canberra/1317343315411"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://24e5b0cc69551747090f-6aec16e790f3129997a37676238c86c9.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/b134d52d588a24ae2e0f8b8de69a4ade_m.jpg","13 Hughes Street Ngunnawal ACT 2913","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","10","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","13 Hughes Street","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","Ngunnawal, ACT 2913","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","Thu Feb 16, 5:00pm-5:15pm","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","","","4; 2; 2","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811; https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811; https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","$580 per week","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","House","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","Sheree Anderson & Kim McLarty","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","Luton Properties Gungahlin","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811","https://360ebdaeb8d2cae05afa-42560f072e42ffe294a54d376a3a1afb.ssl.cf4.rackcdn.com/ahda/agent/logo/76b5de50067d7c8bbbf34d8a21255bc5_agency_t.jpg","Luton Properties Gungahlin","https://www.allhomes.com.au/ah/act/rent-residential/13-hughes-street-ngunnawal-canberra/1317343391811"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://ec43c6c5e62e4916b1b2-042a10f46a8200d2cf80668cd1de383d.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/b77fc35c4b11d627a6897ec30c306ead_m.jpg","17 Ruby Hunter Rise Moncrieff ACT 2914","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","11","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","17 Ruby Hunter Rise","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","Moncrieff, ACT 2914","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","","","0.0","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","4; 2; 2","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111; https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111; https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","$650 Per Week","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","House","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","Tahlia Rennie","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","Luton Properties Dickson","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111","https://360ebdaeb8d2cae05afa-42560f072e42ffe294a54d376a3a1afb.ssl.cf4.rackcdn.com/ahda/agent/logo/76b5de50067d7c8bbbf34d8a21255bc5_agency_t.jpg","Luton Properties Dickson","https://www.allhomes.com.au/ah/act/rent-residential/17-ruby-hunter-rise-moncrieff-canberra/1317343404111"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://378a1b77ce08b15d4777-5c83f99a7f904ec69f56544875fe1325.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/af4f616adc94bcdde23ad405f3ddde90_m.jpg","715/86 Northbourne Avenue Braddon ACT 2612","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","5","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","715/86 Northbourne Avenue","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","Braddon, ACT 2612","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","Thu Feb 16, 12:30pm-1:00pm","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","5.0","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","2; 2; 1; 1; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211; https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211; https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211; https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211; https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211; https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","$650-$700 per week","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","Apartment","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","Private Rental","https://www.allhomes.com.au/ah/act/rent-residential/715-86-northbourne-avenue-braddon-canberra/1317343458211","","","","",""
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://566758d64f9cbd53baa3-2667316191201efcce84cb064024c0b4.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/db99bad00ad28eb455e8897a8e7ea327_m.jpg","114/32 Blackall Street Barton ACT 2600","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","6","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","114/32 Blackall Street","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","Barton, ACT 2600","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","","","0.0","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","1; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811; https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811; https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","$400 per week","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","Apartment","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","PRDnationwide Canberra","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","PRDnationwide Canberra","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811","https://60151b52d5110cffd7e4-94bc28851e1cbe69c0d1107087ff9a1b.ssl.cf4.rackcdn.com/ahda/agent/logo/2bcf19a3462c8af60da89c12ab52f077_agency_t.jpg","PRDnationwide Canberra","https://www.allhomes.com.au/ah/act/rent-residential/114-32-blackall-street-barton-canberra/1317343433811"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://b2e1b7350809c8e64f6c-7c152c62c6d03d0dc07d003a434d4948.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/2fd863aa732315eb42250ee215db1c24_m.jpg","3/13 Schomburgk Street Yarralumla ACT 2600","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","12","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","3/13 Schomburgk Street","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","Yarralumla, ACT 2600","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","","","","","3; 3; 1; 2","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911; https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911; https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911; https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","$1,000 per week","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","Townhouse","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","Jessica Campbell","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","Maloney's Property","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911","https://ed841069b0385b0fd50d-06faeb7ab551d9e5a3ce05d4c84a4317.ssl.cf4.rackcdn.com/ahda/agent/logo/c0bc6f40eaeec637ccb31268301b2f1a_agency_t.png","Maloney's Property","https://www.allhomes.com.au/ah/act/rent-residential/3-13-schomburgk-street-yarralumla-canberra/1317343390911"
"https://www.allhomes.com.au/ah/search/rent-residential/?page=1","https://832ccbc68b80a315b417-20629b89e7de60566d86d8b88d3de9ef.ssl.cf4.rackcdn.com/ahda/property/photo/2017/02/14/3b2e430104265398c1a155e8a3e3b516_m.jpg","15 Cockburn Street Curtin ACT 2605","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","7","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","15 Cockburn Street","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","Curtin, ACT 2605","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","","","","","3; 1; 1","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311; https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311; https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","$570 per week","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","House","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","Civium Property Management Team","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","Civium Property Group - Property Management","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311","https://b32d5367353f6e23c4a9-d04febba942162eed93ebffa4195816f.ssl.cf4.rackcdn.com/ahda/agent/logo/792048a86bffc070db8fef2b290c84c6_agency_t.jpg","Civium Property Group - Property Management","https://www.allhomes.com.au/ah/act/rent-residential/15-cockburn-street-curtin-canberra/1317343283311"
