"url","type_of_property","propertyinfo_value","address","no_of_photoes","photo_link","New column (6)_alt"
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$2,400/mo6 bds · 3 ba · -- sqft","1649 Fairchild Ave APT 1, Manhattan, KS","17 photos","https://photos.zillowstatic.com/p_e/ISmqymksq29w2h1000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$2,100/mo6 bds · 2 ba · -- sqft","106 S Manhattan Ave # 1, Manhattan, KS","","https://photos.zillowstatic.com/p_e/ISeovksdrez8ci0000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","For Rent","3$1,600+","2709 Tobacco Rd, Manhattan, KS","","https://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/39.210850,-96.650923/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,575/mo4 bds · 2 ba · -- sqft","1520 Harry Rd # 1, Manhattan, KS","10 photos","https://photos.zillowstatic.com/p_e/ISmysbylskm4gj0000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,756/mo4 bds · 2 ba · 1,200 sqft","2215 College Ave # 4X2, Manhattan, KS","3 photos","https://photos.zillowstatic.com/p_e/ISybz2us519esf1000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","For Rent","5$1,795+","1218 Yuma St, Manhattan, KS","1 photo","https://photos.zillowstatic.com/p_e/ISekowtvq2b8g21000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,775/mo4 bds · 2 ba · -- sqft","930 Laramie St APT 2E, Manhattan, KS","5 photos","https://photos.zillowstatic.com/p_e/ISynwoyw6us6oq0000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","For Rent","4$1,700+","914 Vattier St, Manhattan, KS","21 photos","https://photos.zillowstatic.com/p_e/ISxn8ab6faypos0000000000.jpg",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,750/mo4 bds · 2 ba · -- sqft","1010 Ratone St # 1, Manhattan, KS","23 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,625/mo4 bds · 2 ba · -- sqft","614 Thurston St # 614, Manhattan, KS","11 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$2,100/mo4 bds · 3.5 ba · 2,668 sqft","715 Leavenworth St, Manhattan, KS","6 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$2,370/mo6 bds · 2 ba · 2,656 sqft","1836 Todd Rd, Manhattan, KS","12 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,660/mo4 bds · 2 ba · 1,332 sqft","Laramie St, Manhattan, KS","2 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,700/mo4 bds · 2 ba · 3,240 sqft","913 Ratone St, Manhattan, KS","25 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
"http://www.zillow.com/homes/for_rent/Manhattan-KS/apartment_duplex_type/53133_rid/396225-792449_price/1500-3000_mp/44.119142,8.481445,33.906896,-179.956055_rect/3_zm/","Apartment For Rent","$1,600/mo5 bds · 2 ba · -- sqft","715 Moro St, Manhattan, KS","7 photos","data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7",""
